No,Hue Mean,Sat Mean,Val Mean,Contrast,Energy,Label
1,71.3,66.32,54.34,0.44,0.83,bacterial_spot
2,71.6,62.35,63.41,1.05,0.71,bacterial_spot
3,98.14,59.76,52.18,0.96,0.76,early_blight
4,117.11,67.33,59.79,2.82,0.65,early_blight
5,100.33,56.73,50.11,7.15,0.46,healthy
6,94.28,55.22,66.08,7.95,0.44,healthy
7,22.9,22.46,73.32,2.07,0.66,late_blight
8,82.72,42.83,44.77,0.54,0.84,late_blight
9,110.41,25.83,37.98,1.02,0.69,leaf_mold
10,27.02,40.25,50.84,1.82,0.64,leaf_mold
11,107.98,72.12,65.75,2.81,0.58,septoria_leaf_spot
12,85.9,63.93,92.46,0.66,0.8,septoria_leaf_spot
13,17.99,13.9,93.88,2.51,0.65,spotted_spider_mite
14,119.32,61.58,47.03,2.19,0.61,spotted_spider_mite
15,110.64,44.92,50.38,3.08,0.62,target_spot
16,109.97,62.7,50.16,2.84,0.58,target_spot
17,50.84,18.41,74.61,0.19,0.91,yellow_leaf_curl_virus
18,38.63,13.73,90.39,0.17,0.92,yellow_leaf_curl_virus
